,0,5,20,model
thresholds,0.0,5.0,20.0,raft-chairs-original-retrained.pth
px_count,255401889.0,126195945.0,83171190.0,raft-chairs-original-retrained.pth
EPE_sum_msk,0.41,1.29,8.52,raft-chairs-original-retrained.pth
EPEu_sum_msk,0.26,0.87,5.94,raft-chairs-original-retrained.pth
EPEv_sum_msk,0.26,0.76,4.81,raft-chairs-original-retrained.pth
G_mag_L2_masked_sum,1.65,10.45,54.51,raft-chairs-original-retrained.pth
G_mag_L2_PIXEL_COUNT,1.0,1.0,1.0,raft-chairs-original-retrained.pth
I_L2_sum_m1_msk,0.0,0.0,0.0,raft-chairs-original-retrained.pth
Iv_sum_m1_msk,0.0,0.0,0.0,raft-chairs-original-retrained.pth
Iu_sum_m1_msk,0.0,0.0,0.0,raft-chairs-original-retrained.pth
